Tues,Day,Attack Name,Time,Source Machine,Dest Machine,User,Where,Variant
5,Fri,format,8:50:38,199.227.99.125,pascal,lucyj,"tcp,bsm","ftp over files, Stage 1"
5,Fri,eject,12:34:29,206.48.44.18,pascal,bramy,"tcp,bsm","run self contained exploit, more the uuencoded results"
5,Fri,format,13:07:22,199.227.99.125,pascal,lucyj,"tcp,bsm","chmod exploit files, Stage 2"
5,Fri,neptune,17:27:07,230.1.10.20,pascal,-,tcp,port 1-1024 every 5 min for 1 hr
6,Mon,neptune,19:19:17,9.9.9.9,pascal,-,tcp,"port 20,23,79,80"
6,Tues,portsweep,8:16:51,206.48.44.18,pascal,-,tcp,"ACK, every 38 secs, ports 1-2000"
6,Thurs,eject,8:41:50,202.247.224.89,pascal,raeburnt,tcp,
6,Thurs,ffb,9:06:46,199.174.194.16,pascal,alie,"tcp,bsm",
6,Thurs,eject,9:32:03,135.8.60.182,pascal,alie,"tcp,bsm",
6,Thurs,eject,9:50:46,195.73.151.50,pascal,alie,"tcp,bsm",
6,Thurs,eject,10:00:14,135.8.60.182,pascal,alie,"tcp,bsm",
6,Thurs,pod,10:27:24,207.103.80.104,pascal,-,tcp,
6,Thurs,neptune,11:32:23,230.1.10.20,pascal,-,tcp,
6,Thurs,eject,12:21:55,209.12.13.144,pascal,raeburnt,"tcp,bsm",
6,Thurs,neptune,13:31:08,10.20.30.40,pascal,-,tcp,
6,Thurs,eject,14:14:56,199.227.99.125,pascal,raeburnt,"tcp,bsm",
6,Thurs,portsweep,14:41:47,206.48.44.18,pascal,-,tcp,
6,Thurs,ffb,14:43:31,209.154.98.104,pascal,alie,tcp,
6,Thurs,teardrop,15:23:47,1.1.1.1,pascal,-,tcp,
6,Thurs,eject,17:50:09,207.253.84.13,pascal,alie,"tcp,bsm",
6,Thurs,eject,19:50:15,202.49.244.10,pascal,raeburnt,bsm,no sniffing
6,Thurs,ffb,20:30:59,208.254.251.132,pascal,alie,bsm,no sniffing
6,Thurs,eject,20:39:41,206.222.3.197,pascal,darleent,bsm,no sniffing
6,Thurs,eject,20:47:35,209.117.157.183,pascal,alie,bsm,no sniffing
6,Thurs,eject,23:43:29,202.72.1.77,pascal,raeburnt,bsm,no sniffing
6,Fri,neptune,9:31:52,10.20.30.40,pascal,-,tcp,"ports 23,25 for 1 hr"
7,Mon,syslog,12:42:51,1.1.1.1,pascal,-,tcp,
7,Tues,phf,17:10:01,206.47.98.151,pascal,alie,tcp,No bsm
7,Tues,loadmodule,19:16:45,209.74.60.168,pascal,raeburnt,tcp,No bsm
7,Fri,neptune,9:48:11,10.20.30.40,pascal,-,tcp,
7,Fri,smurf,17:16:23,10.different,pascal,-,tcp,
7,Fri,neptune,19:21:20,9.9.9.9,pascal,-,tcp,
1,Tues,loadmodule,10:12:06,135.8.60.182,zeno,tristank,tcp,clear
1,Thurs,dict,9:06:03,135.8.60.182,zeno,alie,tcp,-
2,Wed,land,9:32:03,zeno,zeno,-,tcp,-
4,Tues,satan,8:50:13,192.168.1.10,zeno,-,tcp,level2
4,Thurs,portsweep,15:15:18,194.7.248.153,zeno,-,tcp,"ports 1-2000 one every 20 sec,scantcp 2"
5,Thurs,teardrop,10:36:48,123.123.123.123,zeno,-,tcp,-
5,Thurs,satan,10:42:53,208.240.124.83,zeno,-,tcp,level0
5,Thurs,portsweep,11:25:11,196.227.33.189,zeno,-,tcp,1 ACK every 20 sec
5,Fri,loadmodule,11:12:16,197.218.177.69,zeno,wardc,tcp,clear
5,Fri,portsweep,11:46:39,205.160.208.190,zeno,-,tcp,"port 1-100, one every 3 min, FIN scan"
6,Mon,satan,17:29:28,202.72.1.77,zeno,-,tcp,level 0
6,Tues,land,17:53:49,zeno,zeno,-,tcp,port 23
6,Wed,neptune,10:41:42,135.13.216.191,zeno,-,tcp,all ports for an hour
6,Thurs,portsweep,12:03:45,202.247.224.89,zeno,-,tcp,
7,Wed,loadmodule,9:41:51,209.12.13.144,zeno,raeburnt,tcp,
7,Wed,portsweep,23:10:42,128.223.199.68,zeno,-,tcp,
